linea,tension,se_inicial,se_final,volt_nom,conductor,i_nominal,empresa,longpropia,anotacion,depto,cod_dep,objectid_1
BACATA- TORCA,230 kV,BACA,TORC,230, ,810, , , ,CUNDINAMARCA,11,170
COPEY-OCAÑA,500 kV,COPE,OCA,500, ,810, , , ,CESAR,20,171
PRIMAVERA-SOGAMOSO,500 kV,PVRA,SOGA,500, ,810, ISA, , ,CESAR,20,172
MIEL - SAN FELIPE 1,220 kV,MARI,MIEL,220, ,996, , , ,CALDAS,17,173
MIEL - SAN FELIPE 2,220 kV,MARI,MIEL,220, ,996, , , ,CALDAS,17,174
CHIVOR - SOCHAGOTA 1,220 kV,CHIV,NPAI,220, ,810,ISA, , ,BOYACA,15,175
CHIVOR - SOCHAGOTA 2,220 kV,CHIV,NPAI,220, ,810,ISA, , ,BOYACA,15,176
ALFEREZ - SAN BERNARDINO,230 kV,ALFE,PPYN,230, ,868,ISA,122.6 Km, ,CAUCA,19,177
CERROMATOSO - URRA 1,220 kV,CMA,URRA,220, ,800, , , ,CORDOBA,23,178
BOLIVAR-CARTAGENA 230 kV,220 kV,BOLI,CART,220, ,810, , , ,BOLÍVAR,13,179
BALSILLAS-LA MESA,220 kV,BALS,MESA,220, ,810, , , ,CUNDINAMARCA,25,180
BETANIA-ALTAMIRA,220 kV,BETA,ALTAMIRA,220, ,810, , , ,HUILA,41,181
ALTAMIRA-MOCOA,220 kV,ALTAMIRA,MOCOA,220, ,810, , , ,HUILA-CAUCA-PUTUMAYO,41,182
MOCOA-JAMONDINO,220 kV,MOCOA,PAST,220, ,810, , , ,NARIÑO,52,183
QUIMBO-JAMONDINO,220 kV,QUIMBO,PAST,220, ,810, , , ,HUILA-NARIÑO,41,184
JAMONDINO - POMASQUI 2,220 kV,PAST,POMA,220, ,810, , , ,NARI¥O,52,185
JAMONDINO - POMASQUI 3,220 kV,PAST,POMA,220, ,810, , , ,NARI¥O,52,186
JAMONDINO - POMASQUI 4,220 kV,PAST,POMA,220, ,810, , , ,NARI¥O,52,187
